"SITE_ID","VISIT_NO","MCYST_TL_UGL","BASINAREA_KM2","PCT_OPENH20_BSN","PCT_ICESNOW_BSN","PCT_WATER_BSN","PCT_DEVOPEN_BSN","PCT_DEVLOW_BSN","PCT_DEVMED_BSN","PCT_DEVHIGH_BSN","PCT_DEVELOPED_BSN","PCT_BARREN_BSN","PCT_DECID_BSN","PCT_CONIF_BSN","PCT_MIXED_BSN","PCT_FOREST_BSN","PCT_SHRUBLAND_BSN","PCT_GRASS_BSN","PCT_PASTURE_BSN","PCT_CROPS_BSN","PCT_AGRIC_BSN","PCT_WDYWET_BSN","PCT_EMHERBWET_BSN","PCT_WETLAND_BSN","SECMEAN","DATE_COL","LAT_DD","LON_DD","LAKEAREA","LAKENAME","AREA_HA","DEPTHMAX","ELEV_PT","HUC_2","HUC_8","COND","ANC","TURB","TOC","DOC","NO3_NO2","NTL","PTL","CL","SO4","NO3","CA","MG","NA.","K","COLOR","SIO2","NH4ION","CHLA","DEPTH_SURF","TEMP_SURF","DO_SURF","COND_SURF","PH_SURF","DEPTH_BOT","TEMP_BOT","DO_BOT","COND_BOT","PH_BOT"
"NLA06608-0488",1,0.05,27.05114084,1,0,1,1.8,0.1,0,0,1.9,0,12.9,0,0.1,13,0,28.8,49.2,6.1,55.3,0,0,0,0.45,"7/19/2007",37.19249014,-95.98672528,0.134819563,"Bee Creek Lake",13.48195629,3.6,252.08,11,11070106,180.3,1652.2,16.3,9.36,7.85,0.005,1070,162,101.203128,112.7403,0.5,1169.656,323.474128,155.8519366,75.9369254,32,9.354,1.380008791,49.68,0,29,9.1,173,7.3,3.4,18.8,0,299,6.5
"NLA06608-0489",1,1.8,11.35294929,1.3,0,1.3,8.3,2.3,0.2,0,10.8,0.4,20.2,3.3,2.6,26.1,0,0,53.4,7.8,61.2,0.1,0.2,0.3,0.5,"7/10/2007",38.49363215,-78.00762524,0.216274186,"Bald Run Reservoir",21.62741859,2.5,115.8,2,2080103,135.3,837.26,14.6,12.58,11.7,0.005,1275,107,349.980048,52.61214,0.5,563.371,262.827872,291.5209822,102.8946618,38,9.72,1.564214286,24.32,0,30.74,12,140,9.3,2,25.6,2.3,136,8
"NLA06608-0491",1,1.2,92.84534182,15.9,0,15.9,9.1,2.5,0.4,0.1,12.1,0,13.7,0.2,0,13.9,0.2,0.3,1.6,49.2,50.8,2.5,4.2,6.7,NA,"7/17/2007",41.41314405,-85.734175,0.531359245,"Mud Lake",53.13592451,1.3,261.61,4,4050001,429.4,3104.53,1.59,7.41,7,0.005,665,16,619.149906,602.07276,0.5,2131.229,1579.10672,362.4655841,45.2961586,16,8.971,0.958301521,7.2,0,24.3,5.9,NA,7.1,1,24.3,5.7,NA,7.1
"NLA06608-0493",1,0.29,193.231788,1.7,0,1.7,4.7,2.1,0.6,0.1,7.5,0.5,42,5.8,0.5,48.3,0,0,34.2,6.9,41.1,0.3,0.5,0.8,1.52,"7/11/2007",38.77124892,-77.64555522,2.889176192,"Manassas",288.9176192,15.1,86.34,2,2070010,174.8,707.62,3.3,3.91,3.48,0.005,353,15,641.037762,212.65548,0.5,631.235,388.893088,431.2353055,44.503284,21,5.545,0.887539581,9.472,0,29.3,9.1,179,8.2,14,9.8,0.1,254,6.9
"NLA06608-0494",1,0.05,115.0068368,10.4,0,10.4,1.5,0.2,0,0,1.7,0.1,54.1,14,0.1,68.2,6.4,1.9,3.3,1.2,4.5,2.9,3.9,6.8,1.65,"7/11/2007",46.82219046,-94.53354023,6.310209246,"Pine Mountian Lake",631.0209246,23.5,403.19,7,7010105,280.4,2956.64,3.64,5.19,5.02,0.005,401,4,52.660602,48.57306,0.5,1683.127,1039.29744,187.5616943,32.3288224,3,13.698,1.277735361,24.64,0,22.6,7.4,272,8.1,22,7.9,0.1,339.5,7.1
"NLA06608-0495",1,0.05,9427.36745,0.5,0,0.5,0.4,0.2,0,0,0.6,4.3,12.9,38.1,1.2,52.2,21.4,17.4,1.7,0,1.7,1.7,0.2,1.9,4.68,"9/5/2007",38.44681794,-107.4380582,3.679212786,"Morrow Point Reservoir",367.9212786,44.5,2185.23,14,14020002,196.3,1517.51,0.72,2.32,2.26,0.005,136,11,33.649758,360.99798,0.5,1263.967,404.363232,157.7223339,32.7124714,8,11.075,0.330696198,1.774,0,16.2,7.9,183,8.3,44,5.6,6.4,200,7.6
"NLA06608-0496",1,0.38,4.653310892,1.1,0,1.1,1.1,0.1,0,0,1.2,0,0,0.1,0,0.1,19,37.7,0,39.3,39.3,0.1,1.6,1.7,NA,"6/23/2007",48.75171319,-108.0524686,0.124412271,"",12.44122713,1.9,888.42,10,10050010,3410,6451.33,2.27,42.22,41.92,0.005,4372,620,4001.669838,29808.91008,0.5,4878.723,10269.5424,23288.62039,330.193906,37,0.392,5.534386531,0.694,0,22.7,10.8,NA,9.7,1.4,22.6,11,NA,9.7
"NLA06608-0497",1,0.05,0.694378843,50,0,50,5.6,0,0,0,5.6,0,0,0,0,0,28.5,9.5,0,5.8,5.8,1.2,0,1.2,1.42,"8/17/2007",42.10765269,-111.8159376,0.342264253,"Lamont Reservoir",34.22642526,9.6,1485,16,16010202,236.8,2438.87,4.91,1.43,1.44,0.005,156,17,52.406748,50.36358,0.5,1483.527,830.28592,100.6969672,27.5204216,3,4.772,0.123636488,0.858,0,23.4,6.8,229,8.4,9.2,18.8,0.2,267,7.8
"NLA06608-0498",1,0.05,78.49615131,1.3,0,1.3,5.7,1.2,0,0,6.9,0.2,44.1,6.3,8.7,59.1,0.6,0.1,19.8,0.7,20.5,10.7,0.6,11.3,1.05,"7/31/2007",41.95095517,-71.95133091,0.367322381,"Roseland Lake",36.73223812,5.5,86.77,1,1100001,127.6,624.37,5.56,4.25,3.66,0.042,820,44,351.221112,173.99274,3.926615,570.856,172.064208,283.6479148,63.3276616,25,0.661,0.882830861,26.424,0,27.4,11.8,141,9.6,5.5,13.5,0.2,194,6.7
"NLA06608-0500",1,0.05,707.3306042,0.8,0,0.8,3.9,0.3,0,0,4.2,0.1,41.7,30.6,15.2,87.5,0.5,1.7,5.1,0,5.1,0.1,0,0.1,1.55,"9/14/2007",34.21452974,-94.21467091,3.922005889,"Gillam Lake",392.2005889,22,153.59,11,11140109,40.9,208.02,2.09,2.62,2.51,0.005,266,21,53.845254,85.65348,0.5,121.8558,97.51128,108.0915609,23.6839316,5,7.527,0.496073463,13.12,0,28,7.5,NA,7,21.5,14.2,0.1,NA,6.7
"NLA06608-0501",1,0.05,19.39228254,3.8,0,3.8,7.3,0.7,0,0,8,0,3.1,50.6,7.5,61.2,16.5,8.9,0,0,0,1.3,0.3,1.6,5.95,"7/24/2007",37.94635193,-122.6247455,0.996608727,"Alpine Lake",99.6608727,16.3,198.57,18,18050005,164.4,1358.23,0.806,2.91,3.05,0.005,182,6,223.419726,112.3239,0.5,399.6491,939.72896,260.7246743,14.9111578,9,10.667,0.577714694,0.634,0,25.1,9.6,172,8.2,16,9.1,3.9,154,7.1
"NLA06608-0502",1,1.8,4.243922685,25.7,0,25.7,10.3,11.1,1,0,22.4,0,10.2,0.2,1,11.4,0.1,1,21.3,7.3,28.6,9,2,11,3.83,"8/18/2007",42.82731383,-83.7469401,0.303353365,"Squaw Lake",30.33533655,10.7,263.7,4,4080203,612.4,3102.62,1.36,7.2,7.37,0.005,648,5,2598.590574,278.52996,0.5,2091.808,1824.32496,1640.294873,71.2052544,10,1.826,0.378465288,2.28,0,24,8.7,578,7.9,10.4,9,0.4,633,7.4
"NLA06608-0503",1,2.8,0.870605299,27.1,0,27.1,5.5,0.1,0,0,5.6,0,0.7,0,0,0.7,0,3.8,6.8,56.2,63,0,0,0,0.14,"8/1/2007",43.57477426,-97.0587349,0.207697309,"Rehfeldt Slough",20.76973087,2,485.13,10,10170102,2575,4366.32,63.2,22.68,17.18,0.005,5916,430,784.634508,27479.94324,0.5,5513.95,17848.2672,7503.337725,724.585078,22,37.191,1.31925982,244.8,0,25.2,5,2766,8.2,1.5,25.2,4.6,2770,8.4
"NLA06608-0508",1,0.05,0.16657637,93.1,0,93.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.2,6.6,0,6.6,0.26,"7/10/2007",33.85862113,-90.54209875,0.153734775,"Grittman Lake",15.37347752,0.5,38.92,8,8030207,76.03,699.93,86.2,7.46,6.91,0.005,756,283,42.760296,11.07624,0.5,398.5513,207.201184,113.093786,31.1011456,2,8.618,1.384090113,28,0,28.55,7.41,76,7.87,0,28.55,7.41,76,7.87
"NLA06608-0509",1,0.05,110.4000523,4.1,0,4.1,6.7,5.2,1.9,0.4,14.2,0.1,57.9,1.2,0.4,59.5,0,0,19.5,2.6,22.1,0,0,0,5.5,"6/20/2007",40.46163354,-79.56745425,4.121244393,"Beaver Run Reservoir",412.1244393,13.4,318.34,5,5010008,352.4,635.76,1.09,2.1,2,0.633,821,4,1141.21476,1189.863,44.335053,1449.096,560.298992,935.6335911,46.293646,10,3.246,1.597027503,1.232,0,25.7,7.7,318,7.1,12.5,8.9,6,332,7
"NLA06608-0510",1,1.2,12.43738339,18.1,0,18.1,4.3,0,0,0,4.3,0,0.4,0,0,0.4,0,3.8,0,65.6,65.6,0.3,7.5,7.8,0.48,"6/27/2007",48.24775379,-98.8914836,1.809745987,"Cavanaugh Lake",180.9745987,4.1,443.79,9,9020201,1329,5260.43,20.1,19.11,16.28,0.005,2916,165,1261.908234,7727.9676,0.5,1780.931,4929.87408,6903.070707,841.47014,13,24.763,2.8360045,71.2,0,21.69,6.52,1248,8.58,4,21.66,6.47,1245.2,8.6
"NLA06608-0511",1,0.05,153.1883941,0.6,0,0.6,0,0,0,0,0,22.7,9.5,45.6,2.2,57.3,0,18.1,0,0,0,1.1,0,1.1,1.7,"9/6/2007",38.22555093,-107.5377617,0.755478641,"Silver Jack Reservoir",75.54786412,16,2719,14,14020002,147.8,794.6,3,1.54,1.14,0.005,112,13,4.992462,551.50098,0.5,814.368,277.557424,160.7671666,41.3317856,4,16.526,0.207465381,2.352,0,16.7,6.6,141,8.5,14.5,14.3,6.4,153,7.7
"NLA06608-0512",1,2.3,5.796496216,35.1,0,35.1,1.9,0,0,0,1.9,0,35.3,0,0,35.3,0,2.3,0.2,24.6,24.8,0.1,0.4,0.5,0.71,"8/13/2007",48.92434782,-100.3053493,0.351130026,"South Loon Lake",35.11300262,3,674.31,9,9010004,684.7,8008.89,8.27,30.08,27.8,0.005,2447,61,154.540674,158.06544,0.5,1319.356,5834.2192,571.9935715,686.987476,25,12.254,1.864329232,11.84,0,20.5,7.4,686,8.6,3,20.4,6.4,688,8.4
"NLA06608-0514",1,0.05,2481.347332,1.8,0,1.8,5.3,1.3,0.3,0.1,7,0.1,64.3,2.2,1.7,68.2,0,0,14.7,8.2,22.9,0,0,0,3.05,"7/24/2007",40.35740927,-78.11907346,33.47380555,"Raystown Lake",3347.380555,28,239.41,2,2050303,219.9,1107.02,1.01,2.83,2.36,0.797,1009,7,402.104736,525.03876,56.471863,1116.263,559.887552,319.7509311,42.3548496,4,0.524,1.08656106,3.856,0,24.48,8.03,219,8.57,28,5.32,3.48,216,7.04
"NLA06608-0515",1,2.4,4.473708648,21.3,0,21.3,2.8,1.1,0.1,0,4,0.1,0,0,0,0,0.1,58,16.6,0,16.6,0,0,0,0.84,"6/28/2007",46.02793009,-98.94484753,0.692715186,"Minnow Lake",69.27151861,3.7,633.4,10,10160004,1895,13095.89,14.2,30.11,26.13,0.005,4984,335,2085.69267,7490.55714,0.5,706.584,10960.7616,8756.068893,1834.353752,21,26.585,70.54766581,5.92,0,22.06,3.19,1922,8.66,3.5,21.44,1.64,1919,8.67
"NLA06608-0523",1,0.41,333.0914853,8.4,0,8.4,5.6,1.4,0.5,0.2,7.7,0,0.6,0,0,0.6,0,11.8,7,62.2,69.2,0,2.1,2.1,1.25,"7/16/2007",43.92368969,-96.95103624,4.116060301,"Brant Lake",411.6060301,4.1,485.78,10,10170203,1799,2685.87,8.86,11.88,11.03,0.005,1738,115,1525.718952,16658.14446,0.5,6132.71,9331.4592,4237.972142,336.33229,6,8.058,9.952737249,48.6,0,24.1,7.3,1835,8.38,3.5,24.1,6.9,1838,8.53
"NLA06608-0526",1,0.05,1.664877475,13.3,0,13.3,0,0,0,0,0,0,6.5,78.6,0.3,85.4,0.4,0,0,0,0,0,0.7,0.7,1.55,"7/18/2007",47.94850085,-91.39296143,0.240490276,"Becoosin Lake",24.04902764,5.5,460.42,9,9030001,36.09,226.76,1.46,14.43,14.15,0.005,651,17,7.361766,68.26878,0.5,135.5783,165.069728,45.6724905,7.7752864,39,0.285,1.136324333,11.008,0,23.41,8.34,26.6,7.33,4,12.51,0.28,64,6.78
"NLA06608-0528",1,0.05,16.16695159,58,0,58,2.4,4,0.5,0,6.9,0,0,0,0,0,0,7.1,0,24.1,24.1,3.9,0,3.9,0.7,"6/28/2007",40.69518018,-99.85563998,8.782474956,"Johnson Lake",878.2474956,10.7,796.39,10,10200101,818.9,2901.49,8.87,5.54,5.25,0.005,814,65,933.47757,4607.48682,0.5,2893.701,1691.0184,3358.450468,288.504048,18,14.243,8.471999701,11.792,0,23.4,5.7,787,7.5,10,21.7,0.4,775,7.4
"NLA06608-0529",1,3.5,5400.304012,0.5,0,0.5,2.9,0.4,0.1,0,3.4,0,0,0.5,0,0.5,36.5,0.6,1.8,55.6,57.4,0.1,0.8,0.9,1.93,"9/4/2007",47.18441442,-119.3639845,26.06638733,"Moses Lake",2606.638733,8.5,320.11,17,17020015,276.1,2543.91,7.01,3.41,3.28,0.005,508,42,113.021442,309.57258,0.5,1158.678,1025.30848,591.567496,111.002444,3,26.14,0.479916094,26.08,0,22,10,282.8,9.1,8,21,0.2,311.1,7.8
"NLA06608-0530",1,0.55,2.251704018,2.1,0,2.1,43.7,6,1.9,0,51.6,0,0.2,31.1,0,31.3,0.2,1.3,7.7,0.5,8.2,1.3,4.2,5.5,1.05,"8/7/2007",31.05988383,-81.41308684,0.097412015,"Oleander Lake",9.741201494,2.4,0.71,3,3070203,36000,1611.82,3.66,4.34,4.78,0.012,1016,117,446058.3997,44590.75614,0.5,12200.55,75178.3168,309659.4856,7724.1332,33,3.134,4.566584648,17.76,0,31.02,5.46,42408,8.18,2,31.02,5.29,42430,8.13
"NLA06608-0531",1,0.91,188.1979017,12.9,0,12.9,2.8,0.2,0,0,3,0,0.1,0,0,0.1,1.5,47.5,23.9,10,33.9,0,1,1,1.15,"7/11/2007",46.03407357,-99.16791062,0.138801609,"",13.88016093,1.8,588.11,10,10130106,9751,3386.07,6.34,25.93,23.96,0.021,2697,57,14297.1419,133210.8363,0.5,17095.74,60703.8576,54676.49577,2585.79426,12,10.521,7.609194737,3.813,0,21.28,8.3,10034,8.26,1.5,21.23,8.22,10041,8.26
"NLA06608-0533",1,0.05,65.62419873,2.5,0,2.5,2.3,0.2,0,0,2.5,0,61.3,5.1,1,67.4,2.9,0.9,13.8,9.8,23.6,0.3,0,0.3,3.8,"7/18/2007",42.25218027,-78.29237084,1.68057458,"Cuba Lake",168.057458,6.9,470.53,5,5010001,129.4,832.2,0.852,2.59,2.33,0.035,178,6,203.50629,180.67596,4.711938,734.029,210.739568,182.9509477,27.3158088,1,1.84,2.105212053,3.18,0,22.9,9.39,127,7.84,6.4,20.1,2.46,130,7.13
"NLA06608-0537",1,0.05,67.35826898,2.7,0,2.7,4.5,2,1,0.2,7.7,0.4,30.4,17.8,0.2,48.4,0,3,37.5,0.3,37.8,0,0,0,1.78,"6/6/2007",37.69558878,-81.05483233,0.358693406,"Glade Creek Reservoir (Lower)",35.86934062,7.5,815.49,5,5050004,150.2,205.64,2.81,2.13,2.01,0.026,256,11,787.22946,196.56162,1.927611,272.6037,167.126928,692.0469751,26.2927448,14,2.259,1.559088026,2.335,0,21.1,9.1,136.2,7.2,6,9,1.9,99.1,6.4
"NLA06608-0540",1,0.38,9.131227471,0.8,0,0.8,5.1,0,0,0,5.1,0,0,0,1.8,1.8,27.6,14.3,0,50.3,50.3,0,0,0,0.21,"8/27/2007",35.17104325,-99.37115228,0.100905328,"Elk City Lake",10.09053282,2,519.11,11,11120303,1255,3208.09,31.7,14.42,9.72,0.005,2250,235,787.116636,9952.1682,0.5,6297.38,5187.43552,2126.163177,375.464488,23,12.076,0.910520301,95.04,0.1,28.21,8.33,1234,8.36,1.9,27.83,5.06,1236,8.16
"NLA06608-0541",1,0.05,2.35491333,4,0,4,24,24.5,6.2,0.1,54.8,0.2,16.7,0.7,0,17.4,0,0,9.2,5.5,14.7,5.9,3,8.9,1.6,"7/12/2007",38.96504347,-77.33745683,0.101117519,"Lake Anne",10.11175187,7.1,97.61,2,2070008,275.6,434.85,2.71,4.24,3.99,0.005,329,14,1731.171456,106.7025,0.5,489.0699,255.997968,1414.542277,71.9725524,6,1.764,1.2720568,6.016,0,28.5,8.8,278,8,6.5,9.6,0.2,363,6.8
"NLA06608-0542",1,0.05,0.146669853,33.4,0,33.4,0,0,0,0,0,0,62,0,4.1,66.1,0,0,0,0,0,1.4,0,1.4,NA,"8/30/2007",45.78575069,-88.36579346,0.046123777,"Buckskin Lake",4.612377664,1.3,405.01,4,4030108,129.7,1211.41,1.62,14.33,13.49,0.011,1303,15,11.536254,106.01544,0.5,727.043,548.03808,31.57926486,29.4898198,12,0.748,2.139897489,3.184,0,21.3,8.7,NA,8.7,1,20.86,8.77,126.7,8.75
"NLA06608-0546",1,0.05,6.284518505,0.5,0,0.5,5.5,7.1,5.4,2.4,20.4,0.1,43.6,12.7,2.7,59,1.4,0,6.7,2.6,9.3,6.1,3.2,9.3,1.98,"7/18/2007",42.35496664,-71.47978934,0.065793663,"Grist Millpond",6.579366257,2.8,63.79,1,1070005,746.2,1848.8,2.19,5.63,5.61,3.429,4022,181,3824.366922,709.94118,226.173024,1913.166,333.101824,3792.556616,210.111769,15,0.734,4.450913552,14.944,0,26.02,11.35,723,8.96,2,25.19,0.37,742,7.27
"NLA06608-0547",1,0.75,301.1455459,2.5,0,2.5,6.3,2.1,0.2,0,8.6,0,17.2,5.8,2.5,25.5,0.6,5.1,7.4,46.8,54.2,1.9,1.7,3.6,3.6,"7/31/2007",44.20672826,-89.83486415,1.23811974,"Arrowhead Lake",123.811974,5.7,289.18,7,7070003,311.1,2165.72,2.16,6.57,6.34,0.005,519,10,397.84563,592.55802,0.5,1396.202,1476.24672,167.7702818,44.4009776,19,3.798,0.84719997,2.107,0,27.3,8.7,316,8.6,5.2,24.6,4.8,328,7.9
"NLA06608-0550",1,0.05,6.831946656,8.3,0,8.3,1.6,0,0,0,1.6,0,57.4,6.4,25.6,89.4,0.2,0,0.1,0,0.1,0.4,0,0.4,5.95,"8/1/2007",43.9575273,-71.96791311,0.615957738,"Armington Lake",61.59577382,7.9,409.24,1,1080104,27.88,76.32,0.454,2.4,2.48,0.022,234,1,64.760976,75.0561,1.642039,106.0375,28.224784,76.16431511,9.5400718,5,1.627,0.569124618,1.312,0,25.1,8.6,15,6.5,7.9,20,8.5,13.4,6.8
"NLA06608-0551",1,0.94,114.4366768,4.9,0,4.9,1.9,3.3,0.9,0.4,6.5,0,2.7,0.1,0,2.8,0.9,0.6,11,71.6,82.6,0,1.6,1.6,1.75,"8/20/2007",45.10823473,-94.16801923,2.196509157,"Cokato Lake",219.6509157,13.5,294.56,7,7010204,509.6,3624.73,4.34,7.15,6.68,0.43,1361,54,734.145768,1102.75212,40.979582,2336.817,2543.52208,564.1640017,118.4708112,10,5.929,11.03100586,16.8,0,22,6.12,366,8.4,13,15.9,0.11,451,10.9
"NLA06608-0555",1,0.05,0.906472338,14,0,14,12.9,14.9,6.3,0.6,34.7,0,14.3,0,0,14.3,0,9.7,4.3,0,4.3,22.9,0,22.9,2.03,"7/23/2007",41.72092858,-85.00769013,0.117962532,"Little Otter",11.79625324,10.7,292.84,4,4050001,682.4,4682.4,3.91,6.19,5.65,0.021,578,8,1888.10964,609.48468,14.564172,3238.51,1843.2512,1445.860556,52.6622194,6,9.177,2.929372502,5.653,0,24,8.2,NA,8.3,10.5,6.6,0.4,NA,7.5
"NLA06608-0558",1,0.05,2.241965515,14.3,0,14.3,4,0.4,0,0,4.4,0,54.8,1,0,55.8,0.4,3.3,10.7,9.7,20.4,0.3,1,1.3,2.4,"8/9/2007",46.76330385,-96.21518776,0.14035017,"North Mayfield",14.03501697,3.7,402.97,9,9020106,407.1,3990.23,1.94,12.65,11.8,0.005,1154,17,254.756592,30.48048,0.5,1398.697,2350.96816,212.7033129,112.281274,15,3.58,3.687162373,7.216,0,22.9,5.1,374,7.6,3.5,22.9,0.6,382,8.5
"NLA06608-0560",1,0.05,51513.01999,0.3,0,0.3,0.7,0.2,0,0,0.9,0.1,0.4,10.5,0,10.9,24.3,59,0.1,3.9,4,0.1,0.3,0.4,0.8,"9/12/2007",35.61858883,-101.6607655,65.59392801,"Lake Meredith",6559.392801,13.8,894.9,11,11090106,3256,3515.82,8.15,4.39,4.75,0.005,532,27,18162.7742,8886.37158,0.5,3060.367,4079.01616,21061.54276,212.3113566,6,11.76,0.741818925,12.96,0,24.1,7.4,3134,8.5,13.3,23.8,6.5,3131,8.5
"NLA06608-0561",1,0.05,374.7060005,6.2,0,6.2,0.6,0.4,0.1,0,1.1,0,0,50.2,0,50.2,30.1,11.2,0,0,0,0.8,0.3,1.1,7.05,"8/9/2007",44.9484358,-116.0893222,20.18422831,"Payette Lake",2018.422831,52.5,1520,17,17050123,18.72,149.79,0.683,2.24,1.99,0.005,86,5,5.133492,10.22262,0.5,96.7561,22.464624,42.45366736,7.2381778,11,5.9,0.212286942,0.139,0,20,7.7,NA,6.5,52.5,4.5,8.6,NA,6.9
"NLA06608-0562",1,0.05,148.9264035,2.4,0,2.4,5.5,3.4,1.4,0.1,10.4,1.4,48.5,15.6,5.5,69.6,0.8,1.1,3.2,0.4,3.6,8.6,2,10.6,2.78,"7/13/2007",41.68686806,-71.61087837,1.572914486,"Flat River Reservoir",157.2914486,10,75.34,1,1090004,105.6,107.99,1.03,4.67,4.38,0.053,334,9,639.260784,100.22748,4.140794,175.3486,61.551424,538.9353879,23.5560486,30,2.516,3.12451195,2.08,0,26.8,7.5,113,6.37,9.5,7.12,0.11,93,6.16
"NLA06608-0564",1,0.05,254.6280139,0.1,0,0.1,0,0,0,0,0,0.7,4.1,77.3,2.6,84,11.4,3.7,0.1,0,0.1,0,0,0,2.42,"8/22/2007",35.97472589,-105.9168212,0.407999372,"Santa Cruz Lake",40.7999372,19.3,1915.69,13,13020101,84.09,735.58,3.69,4.05,4.09,0.005,217,14,15.259446,86.59038,0.5,647.203,113.96888,73.55445851,14.450779,12,10.93,1.738043756,6.648,0,22.1,8.2,80,7.8,19.3,17.1,2.4,84,7.1
"NLA06608-0565",1,0.05,114.4521281,0.8,0,0.8,11.1,2.2,1.6,0.2,15.1,0,0,43.2,26,69.2,12.5,1.6,0,0,0,0.2,0.5,0.7,0.76,"7/19/2007",37.24525923,-121.9668773,0.193007469,"Vasona Reservoir",19.3007469,3.9,92.14,18,18050003,361.3,2527.44,9.26,4.15,4.02,0.005,704,81,366.226704,919.9317,0.5,1457.579,1351.16896,652.0291739,43.5057966,16,14.744,1.294140352,40.896,0,24.29,17.32,368.2,8.74,3,23.03,12.82,368.3,8.08
"NLA06608-0569",1,1,64.63108212,1,0,1,10.4,6.6,2,0,19,0,0,49.8,0,49.8,29.7,0.2,0,0,0,0.2,0,0.2,0.43,"8/7/2007",34.60517537,-112.4389242,1.191797911,"Willow Creek Reservoir",119.1797911,1,1567,15,15060202,481,3222.74,14.5,19.52,17.75,0.005,2188,518,1562.04828,217.90212,0.5,1531.93,1602.14736,1812.545409,107.6263328,30,2.984,0.612178915,54,0,28,12.5,523.4,10.5,1,21.7,7.8,451.6,10.2
"NLA06608-0570",1,0.05,519.1434431,0.5,0,0.5,0.7,0,0,0,0.7,0,2.1,18.9,0.1,21.1,29.2,35.5,7.3,1.1,8.4,4.2,0.3,4.5,5.06,"7/27/2007",45.44213549,-109.2242066,2.969416249,"Cooney Reservoir",296.9416249,19.8,1294,10,10070006,335.1,3307.64,1.44,3.46,3.57,0.005,300,12,51.47595,282.67314,0.5,1958.076,1016.2568,428.1904728,55.1431496,19,8.199,1.201659345,3.488,0,23.6,7.8,340.2,8.4,19.3,15.4,0,272.1,7.6
"NLA06608-0579",1,0.92,1047.456287,10.7,0,10.7,3.4,0.3,0.1,0,3.8,0,0,0,0,0,0,49.4,10,21.5,31.5,0,4.5,4.5,0.14,"8/19/2007",46.82469712,-99.7794296,3.142066556,"Alkaline Lake",314.2066556,1.4,525.31,10,10130103,1074,8463.16,65.5,27.09,23.78,0.005,2694,229,549.481086,4261.20858,0.5,2169.652,6385.5488,3255.796109,424.827326,30,34.258,3.123684103,7.136,0,16.7,7.7,1061,8.5,1.4,16.7,7.6,1061,8.5
"NLA06608-0580",1,0.05,571.9870539,0.9,0,0.9,3.5,1.9,0.5,0.1,6,2.4,66.9,1.1,4.3,72.3,0,10.6,7.7,0.1,7.8,0,0,0,4.75,"8/7/2007",37.17718851,-82.39104876,4.763427424,"Flanagan Reservoir",476.3427424,39,425.05,5,5070202,688,1638.58,0.775,2.52,2.39,0.024,183,10,177.246504,5243.55864,6.710942,2794.4,3067.69664,1034.808142,69.5171988,3,2.71,0.192120099,1.816,0,27.4,8.7,669,7.6,37,10.6,0.4,564,8
"NLA06608-0581",1,0.05,3901.158256,0.4,0.1,0.5,0.9,0.5,0.1,0,1.5,0.2,0,23.4,0,23.4,38.7,32.4,1,0.9,1.9,0.6,0.7,1.3,6.6,"7/3/2007",43.25263859,-114.3827885,15.607504,"Magic Reservoir",1560.7504,15.2,1462,17,17040219,257.4,2414.44,0.711,2.84,2.68,0.005,241,8,76.833144,257.87652,0.5,1820.352,599.714944,263.2910333,39.5414236,11,8.836,0.86810556,1.928,0,20.6,8.8,261,8.8,14.7,13.7,5.3,258,8.2
"NLA06608-0582",1,0.05,137.7411596,1.9,0,1.9,13.8,14.3,5.3,0.8,34.2,0.1,38.8,2.5,3.7,45,1,0,8.4,3.3,11.7,6,0.2,6.2,1.5,"7/19/2007",41.80079367,-72.52468392,0.211105314,"Union Pond",21.1105314,4.6,43.88,1,1080205,328.1,878.67,4.63,3.43,3.31,1.876,2709,315,1402.148466,488.24982,151.567339,989.018,337.133936,1406.277731,83.3285628,15,8.222,16.64313379,15.696,0,23.8,9.5,328,8.2,4.5,14.8,0.2,399,7
"NLA06608-0583",1,0.05,0.864009015,25.8,0,25.8,0,0,0,0,0,0,0,0,0,0,2.2,0,57.8,7.1,64.9,6.2,1.3,7.5,0.28,"6/26/2007",31.20627441,-91.54690118,0.244058727,"Blue Lake",24.40587269,0.9,13.71,8,8060100,210.9,2081.94,32.5,18.7,14.18,0.005,4897,590,171.859158,73.5987,0.5,1240.514,626.62312,233.103692,112.2045442,27,9.806,3.727375247,326.88,0,29.4,0.8,211,9.72,0,29.4,0.8,211,9.72
"NLA06608-0585",1,0.05,4.468015468,10.1,0,10.1,3.5,5.7,0,0,9.2,29.4,0,0,0,0,42.9,0.2,5.2,1.7,6.9,0,1.4,1.4,0.24,"6/15/2007",39.48658532,-118.7255216,1.641223762,"S. Line Reservoir",164.1223762,1,1202.02,16,16050203,261.3,1636.93,38.4,3.14,3.02,0.071,505,105,330.066612,648.35562,7.282086,1010.974,443.779184,912.1448817,78.392279,4,10.209,3.854785491,2.528,0,21.8,7.9,217.5,7.9,0.5,20.3,8.2,209.8,7.9
